Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer,player_clean,transfer_year,season_before,season_after,league_clean,before_Player,before_Nation,before_Pos,before_Squad,before_Age,before_Born,before_MP,before_Starts,before_Min,before_90s,before_Gls,before_Ast,before_G+A,before_G-PK,before_PK,before_PKatt,before_CrdY,before_CrdR,before_xG,before_npxG,before_xAG,before_npxG+xAG,before_PrgC,before_PrgP,before_PrgR,before_season,before_league,before_Gls_per_90,before_Ast_per_90,before_GA_per_90,before_player_clean,before_fbref_season,before_fbref_league,after_Player,after_Nation,after_Pos,after_Squad,after_Age,after_Born,after_MP,after_Starts,after_Min,after_90s,after_Gls,after_Ast,after_G+A,after_G-PK,after_PK,after_PKatt,after_CrdY,after_CrdR,after_xG,after_npxG,after_xAG,after_npxG+xAG,after_PrgC,after_PrgP,after_PrgR,after_season,after_league,after_Gls_per_90,after_Ast_per_90,after_GA_per_90,after_player_clean,after_fbref_season,after_fbref_league
Antoine Griezmann,32,France,Second Striker,25000000,Barcelona,22000000.0,La_Liga_2023.csv,La Liga,,,antoine griezmann,2023,2022,2023,La Liga,Antoine Griezmann,fr FRA,FW MF,Atlético Madrid,31,1991.0,38.0,31.0,2859,0.0,15.0,16.0,31.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,99.0,171.0,202.0,2022-2023,La-Liga,0.0,0.0,0.0,antoine griezmann,2022,La Liga,Antoine Griezmann,fr FRA,FW MF,Atlético Madrid,32,1991.0,33.0,31.0,2644,0.0,16.0,6.0,22.0,12.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,43.0,118.0,196.0,2023-2024,La-Liga,0.0,0.0,0.0,antoine griezmann,2023,La Liga
Luis Suárez,25,Colombia,Centre-Forward,8000000,Marseille,8000000.0,La_Liga_2023.csv,La Liga,,,luis suárez,2023,2022,2023,La Liga,Denis Suárez,es ESP,MF FW,Espanyol,28,1994.0,18.0,11.0,945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.0,0.0,26.0,43.0,34.0,2022-2023,La-Liga,0.0,0.0,0.0,denis suárez,2022,La Liga,Denis Suárez,es ESP,MF FW,Villarreal,29,1994.0,4.0,1.0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,4.0,13.0,7.0,2023-2024,La-Liga,0.0,0.0,0.0,denis suárez,2023,La Liga
Sergi Darder,29,Spain,Central Midfield,16000000,Espanyol,8000000.0,La_Liga_2023.csv,La Liga,,,sergi darder,2023,2022,2023,La Liga,Sergi Darder,es ESP,MF,Espanyol,28,1993.0,38.0,38.0,332,36.9,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,111.0,233.0,75.0,2022-2023,La-Liga,0.1626016260162601,0.08130081300813,0.2439024390243902,sergi darder,2022,La Liga,Sergi Darder,es ESP,MF,Mallorca,29,1993.0,36.0,21.0,2157,24.0,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,56.0,132.0,75.0,2023-2024,La-Liga,0.0833333333333333,0.2083333333333333,0.2916666666666667,sergi darder,2023,La Liga
Cycle Larin,28,Canada,Centre-Forward,8000000,Real Valladolid,7500000.0,La_Liga_2023.csv,La Liga,,,cycle larin,2023,2022,2023,La Liga,Cyle Larin,ca CAN,FW,Valladolid,27,1995.0,19.0,16.0,1469,0.0,8.0,3.0,11.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,72.0,2022-2023,La-Liga,0.0,0.0,0.0,cyle larin,2022,La Liga,Cyle Larin,ca CAN,FW,Mallorca,28,1995.0,35.0,20.0,1823,0.0,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,9.0,9.0,0.0,0.0,20.0,13.0,103.0,2023-2024,La-Liga,0.0,0.0,0.0,cyle larin,2023,La Liga
Raúl García,22,Spain,Centre-Forward,4000000,Real Betis,6500000.0,La_Liga_2023.csv,La Liga,,,raúl garcía,2023,2022,2023,La Liga,Raúl García,es ESP,FW MF,Athletic Club,36,1986.0,35.0,6.0,967,0.0,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,62.0,2022-2023,La-Liga,0.0,0.0,0.0,raúl garcía,2022,La Liga,Raúl García,es ESP,FW MF,Athletic Club,37,1986.0,20.0,1.0,420,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.0,0.9,4.0,19.0,15.0,2023-2024,La-Liga,0.0,0.0,0.0,raúl garcía,2023,La Liga
Sergio Arribas,21,Spain,Attacking Midfield,5000000,RM Castilla,6000000.0,La_Liga_2023.csv,La Liga,,,sergio arribas,2023,2022,2023,La Liga,Sergio Arribas,es ESP,MF FW,Real Madrid,20,2001.0,2.0,0.0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,0.0,2022-2023,La-Liga,0.0,0.0,0.0,sergio arribas,2022,La Liga,Sergio Arribas,es ESP,MF FW,Almería,21,2001.0,34.0,22.0,2047,0.0,9.0,4.0,13.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,81.0,94.0,2023-2024,La-Liga,0.0,0.0,0.0,sergio arribas,2023,La Liga
Yangel Herrera,25,Venezuela,Central Midfield,5000000,Man City,5000000.0,La_Liga_2023.csv,La Liga,,,yangel herrera,2023,2022,2023,La Liga,Yangel Herrera,ve VEN,MF FW,Girona,24,1998.0,20.0,12.0,963,0.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,18.0,46.0,56.0,2022-2023,La-Liga,0.0,0.0,0.0,yangel herrera,2022,La Liga,Yangel Herrera,ve VEN,MF,Girona,25,1998.0,29.0,27.0,2107,0.0,5.0,0.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,31.0,92.0,76.0,2023-2024,La-Liga,0.0,0.0,0.0,yangel herrera,2023,La Liga
Sergio Camello,22,Spain,Centre-Forward,10000000,Atlético,5000000.0,La_Liga_2023.csv,La Liga,,,sergio camello,2023,2022,2023,La Liga,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001.0,38.0,27.0,2401,0.0,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,42.0,122.0,2022-2023,La-Liga,0.0,0.0,0.0,sergio camello,2022,La Liga,Sergio Camello,es ESP,FW,Rayo Vallecano,22,2001.0,31.0,20.0,1661,0.0,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,41.0,79.0,2023-2024,La-Liga,0.0,0.0,0.0,sergio camello,2023,La Liga
Martin Ødegaard,22,Norway,Attacking Midfield,40000000,Real Madrid,35000000.0,premier_league_2021.csv,Premier League,,,martin ødegaard,2021,2020,2021,Premier League,Martin Ødegaard,no NOR,MF,Arsenal,21,1998.0,14.0,9.0,866,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,2.0,0.0,16.0,65.0,49.0,2020-2021,Premier-League,0.0,0.0,0.0,martin ødegaard,2020,Premier League,Martin Ødegaard,no NOR,MF FW,Arsenal,22,1998.0,36.0,32.0,2785,0.0,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,57.0,224.0,146.0,2021-2022,Premier-League,0.0,0.0,0.0,martin ødegaard,2021,Premier League
Danny Ings,29,England,Centre-Forward,22000000,Southampton,29400000.0,premier_league_2021.csv,Premier League,,,danny ings,2021,2020,2021,Premier League,Danny Ings,eng ENG,FW,Southampton,28,1992.0,29.0,26.0,2173,0.0,12.0,4.0,16.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,52.0,134.0,2020-2021,Premier-League,0.0,0.0,0.0,danny ings,2020,Premier League,Danny Ings,eng ENG,FW,Aston Villa,29,1992.0,30.0,22.0,1898,0.0,7.0,6.0,13.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,24.0,39.0,117.0,2021-2022,Premier-League,0.0,0.0,0.0,danny ings,2021,Premier League
Jean-Philippe Mateta,24,France,Centre-Forward,5000000,Mainz,11000000.0,premier_league_2021.csv,Premier League,,,jean-philippe mateta,2021,2020,2021,Premier League,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23,1997.0,7.0,2.0,221,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,3.0,11.0,2020-2021,Premier-League,0.0,0.0,0.0,jean-philippe mateta,2020,Premier League,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997.0,22.0,13.0,1145,0.0,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,46.0,2021-2022,Premier-League,0.0,0.0,0.0,jean-philippe mateta,2021,Premier League
Joe Willock,21,England,Central Midfield,16000000,Arsenal,29400000.0,premier_league_2021.csv,Premier League,,,joe willock,2021,2020,2021,Premier League,Joe Willock,eng ENG,MF,Arsenal,20,1999.0,7.0,2.0,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,8.0,11.0,13.0,2020-2021,Premier-League,0.0,0.0,0.0,joe willock,2020,Premier League,Joe Willock,eng ENG,MF,Newcastle Utd,21,1999.0,29.0,24.0,2038,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,58.0,77.0,2021-2022,Premier-League,0.0,0.0,0.0,joe willock,2021,Premier League
Gerard Moreno,26,Spain,Centre-Forward,20000000,Espanyol,20000000.0,La_Liga_2018.csv,La Liga,,,gerard moreno,2018,2017,2018,La Liga,Gerard Moreno,es ESP,FW,Espanyol,25,1992.0,38.0,38.0,3412,37.9,16.0,1.0,17.0,15.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,71.0,139.0,252.0,2017-2018,La-Liga,0.4221635883905013,0.0263852242744063,0.4485488126649076,gerard moreno,2017,La Liga,Gerard Moreno,es ESP,FW,Villarreal,26,1992.0,35.0,25.0,2315,0.0,8.0,1.0,9.0,8.0,0.0,1.0,3.0,0.0,12.0,0.0,0.0,0.0,44.0,88.0,201.0,2018-2019,La-Liga,0.0,0.0,0.0,gerard moreno,2018,La Liga
Nemanja Maksimovic,23,Serbia,Central Midfield,5000000,Valencia,10000000.0,La_Liga_2018.csv,La Liga,,,nemanja maksimovic,2018,2017,2018,La Liga,Nemanja Maksimović,rs SRB,MF,Valencia,22,1995.0,15.0,6.0,557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,11.0,22.0,25.0,2017-2018,La-Liga,0.0,0.0,0.0,nemanja maksimović,2017,La Liga,Nemanja Maksimović,rs SRB,MF,Getafe,23,1995.0,36.0,36.0,3209,35.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,22.0,83.0,28.0,2018-2019,La-Liga,0.0280112044817927,0.0,0.0280112044817927,nemanja maksimović,2018,La Liga
Youssef En-Nesyri,21,Morocco,Centre-Forward,6000000,Málaga CF,6000000.0,La_Liga_2018.csv,La Liga,,,youssef en-nesyri,2018,2017,2018,La Liga,Youssef En-Nesyri,ma MAR,FW,Málaga,20,1997.0,25.0,16.0,1596,0.0,4.0,0.0,4.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.9,0.0,21.0,23.0,79.0,2017-2018,La-Liga,0.0,0.0,0.0,youssef en-nesyri,2017,La Liga,Youssef En-Nesyri,ma MAR,FW,Leganés,21,1997.0,31.0,22.0,2106,0.0,9.0,2.0,11.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,143.0,2018-2019,La-Liga,0.0,0.0,0.0,youssef en-nesyri,2018,La Liga
Sergi Darder,24,Spain,Central Midfield,11000000,Lyon,8000000.0,La_Liga_2018.csv,La Liga,,,sergi darder,2018,2017,2018,La Liga,Sergi Darder,es ESP,MF,Espanyol,23,1993.0,35.0,32.0,2782,0.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,32.0,191.0,32.0,2017-2018,La-Liga,0.0,0.0,0.0,sergi darder,2017,La Liga,Sergi Darder,es ESP,MF,Espanyol,24,1993.0,34.0,32.0,2709,0.0,4.0,2.0,6.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,53.0,169.0,96.0,2018-2019,La-Liga,0.0,0.0,0.0,sergi darder,2018,La Liga
Roger Martínez,24,Colombia,Centre-Forward,2500000,JS Suning,14900000.0,La_Liga_2018.csv,La Liga,,,roger martínez,2018,2017,2018,La Liga,Roger Martínez,co COL,FW,Villarreal,23,1994.0,8.0,2.0,230,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,5.0,4.0,25.0,2017-2018,La-Liga,0.0,0.0,0.0,roger martínez,2017,La Liga,Roger Martí,es ESP,FW,Levante,27,1991.0,31.0,23.0,1887,21.0,13.0,0.0,13.0,11.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,27.0,30.0,104.0,2018-2019,La-Liga,0.6190476190476191,0.0,0.6190476190476191,roger martí,2018,La Liga
Rafa Mir,24,Spain,Centre-Forward,12000000,Wolves,16000000.0,La_Liga_2021.csv,La Liga,,,rafa mir,2021,2020,2021,La Liga,Rafa Mir,es ESP,FW,Huesca,23,1997.0,38.0,32.0,2877,32.0,13.0,1.0,14.0,11.0,2.0,3.0,2.0,0.0,0.0,13.0,1.0,0.0,42.0,39.0,117.0,2020-2021,La-Liga,0.40625,0.03125,0.4375,rafa mir,2020,La Liga,Rafa Mir,es ESP,FW,Sevilla,24,1997.0,34.0,18.0,1808,0.0,10.0,0.0,10.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.3,0.0,18.0,16.0,76.0,2021-2022,La-Liga,0.0,0.0,0.0,rafa mir,2021,La Liga
Boulaye Dia,24,Senegal,Centre-Forward,14000000,Stade Reims,12000000.0,La_Liga_2021.csv,La Liga,,,boulaye dia,2021,2020,2021,La Liga,Abdoulay Diaby,ml MLI,DF,Getafe,29,1991.0,1.0,0.0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,2.0,0.0,4.0,2020-2021,La-Liga,0.0,0.0,0.0,abdoulay diaby,2020,La Liga,Boulaye Dia,sn SEN,FW,Villarreal,24,1996.0,25.0,13.0,1269,0.0,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,93.0,2021-2022,La-Liga,0.0,0.0,0.0,boulaye dia,2021,La Liga
Marcos André,24,Brazil,Centre-Forward,3500000,Real Valladolid,8500000.0,La_Liga_2021.csv,La Liga,,,marcos andré,2021,2020,2021,La Liga,Marcos André,br BRA,FW,Valladolid,23,1996.0,23.0,11.0,1177,0.0,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7,0.0,26.0,15.0,67.0,2020-2021,La-Liga,0.0,0.0,0.0,marcos andré,2020,La Liga,Marcos André,br BRA,FW MF,Valencia,24,1996.0,29.0,8.0,973,0.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,19.0,20.0,62.0,2021-2022,La-Liga,0.0,0.0,0.0,marcos andré,2021,La Liga
Ante Budimir,29,Croatia,Centre-Forward,9000000,RCD Mallorca,8000000.0,La_Liga_2021.csv,La Liga,,,ante budimir,2021,2020,2021,La Liga,Ante Budimir,hr CRO,FW,Osasuna,29,1991.0,30.0,18.0,1625,0.0,11.0,0.0,11.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,10.0,14.0,29.0,103.0,2020-2021,La-Liga,0.0,0.0,0.0,ante budimir,2020,La Liga,Ante Budimir,hr CRO,FW,Osasuna,30,1991.0,28.0,20.0,1738,0.0,8.0,2.0,10.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,0.7,0.0,19.0,23.0,90.0,2021-2022,La-Liga,0.0,0.0,0.0,ante budimir,2021,La Liga
Carles Aleñá,23,Spain,Central Midfield,15000000,Barcelona,5000000.0,La_Liga_2021.csv,La Liga,,,carles aleñá,2021,2020,2021,La Liga,Carles Aleñá,es ESP,MF,Barcelona,22,1998.0,2.0,0.0,48,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,1.0,2020-2021,La-Liga,0.0,0.0,0.0,carles aleñá,2020,La Liga,Carles Aleñá,es ESP,MF,Getafe,23,1998.0,33.0,30.0,232,0.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,33.0,81.0,65.0,2021-2022,La-Liga,0.0,0.0,0.0,carles aleñá,2021,La Liga
Antoine Griezmann,28,France,Second Striker,130000000,Atlético,120000000.0,La_Liga_2019.csv,La Liga,,,antoine griezmann,2019,2018,2019,La Liga,Antoine Griezmann,fr FRA,FW MF,Atlético Madrid,27,1991.0,37.0,37.0,3198,35.5,15.0,8.0,23.0,12.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,87.0,136.0,241.0,2018-2019,La-Liga,0.4225352112676056,0.2253521126760563,0.647887323943662,antoine griezmann,2018,La Liga,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991.0,35.0,31.0,2549,0.0,9.0,4.0,13.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,83.0,229.0,2019-2020,La-Liga,0.0,0.0,0.0,antoine griezmann,2019,La Liga
Martin Braithwaite,28,Denmark,Centre-Forward,10000000,CD Leganés,18000000.0,La_Liga_2019.csv,La Liga,,,martin braithwaite,2019,2018,2019,La Liga,Martin Braithwaite,dk DEN,FW,Leganés,27,1991.0,19.0,16.0,1402,0.0,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,75.0,2018-2019,La-Liga,0.0,0.0,0.0,martin braithwaite,2018,La Liga,Martin Braithwaite,dk DEN,FW MF,Barcelona,28,1991.0,11.0,4.0,407,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,12.0,3.0,30.0,2019-2020,La-Liga,0.0,0.0,0.0,martin braithwaite,2019,La Liga
Raúl de Tomás,25,Spain,Centre-Forward,15000000,Benfica,22500000.0,La_Liga_2019.csv,La Liga,,,raúl de tomás,2019,2018,2019,La Liga,Raúl de Tomás,es ESP,FW,Rayo Vallecano,23,1994.0,33.0,32.0,2813,0.0,14.0,1.0,15.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,40.0,135.0,2018-2019,La-Liga,0.0,0.0,0.0,raúl de tomás,2018,La Liga,Raúl de Tomás,es ESP,FW,Espanyol,24,1994.0,14.0,11.0,1075,0.0,4.0,0.0,4.0,3.0,1.0,1.0,5.0,0.0,5.0,0.0,0.6,0.0,15.0,26.0,71.0,2019-2020,La-Liga,0.0,0.0,0.0,raúl de tomás,2019,La Liga
Borja Iglesias,26,Spain,Centre-Forward,28000000,Espanyol,28000000.0,La_Liga_2019.csv,La Liga,,,borja iglesias,2019,2018,2019,La Liga,Borja Iglesias,es ESP,FW,Espanyol,25,1993.0,37.0,35.0,3075,34.2,17.0,3.0,20.0,14.0,3.0,3.0,5.0,0.0,16.0,0.0,0.0,0.0,52.0,31.0,251.0,2018-2019,La-Liga,0.4970760233918128,0.087719298245614,0.5847953216374269,borja iglesias,2018,La Liga,Borja Iglesias,es ESP,FW,Betis,26,1993.0,35.0,21.0,1922,0.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,19.0,79.0,2019-2020,La-Liga,0.0,0.0,0.0,borja iglesias,2019,La Liga
Denis Suárez,25,Spain,Attacking Midfield,12000000,Barcelona,12900000.0,La_Liga_2019.csv,La Liga,,,denis suárez,2019,2018,2019,La Liga,Denis Suárez,es ESP,MF DF,Barcelona,24,1994.0,2.0,0.0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,2.0,1.0,3.0,2018-2019,La-Liga,0.0,0.0,0.0,denis suárez,2018,La Liga,Denis Suárez,es ESP,MF FW,Celta Vigo,25,1994.0,26.0,20.0,163,0.0,1.0,5.0,6.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,93.0,117.0,115.0,2019-2020,La-Liga,0.0,0.0,0.0,denis suárez,2019,La Liga
Alexander Isak,19,Sweden,Centre-Forward,8000000,Dortmund,15000000.0,La_Liga_2019.csv,La Liga,,,alexander isak,2019,2018,2019,La Liga,Alexander,ar ARG,FW,Leganés,29,1988.0,1.0,0.0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2018-2019,La-Liga,0.0,0.0,0.0,alexander,2018,La Liga,Alexander Isak,se SWE,FW,Real Sociedad,19,1999.0,37.0,14.0,1507,0.0,9.0,1.0,10.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,36.0,98.0,2019-2020,La-Liga,0.0,0.0,0.0,alexander isak,2019,La Liga
Amine Gouiri,22,Algeria,Centre-Forward,42000000,OGC Nice,28000000.0,Ligue_1_2022.csv,Ligue 1,,,amine gouiri,2022,2021,2022,Ligue 1,Amine Gouiri,dz ALG,FW  MF,Nice,21,2000.0,38.0,32.0,2754,0.0,10.0,9.0,19.0,7.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,93.0,104.0,198.0,2021-2022,Ligue-1,0.0,0.0,0.0,amine gouiri,2021,Ligue 1,Amine Gouiri,dz ALG,FW MF,Nice,22,2000.0,3.0,3.0,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.8,8.0,1.0,18.0,2022-2023,Ligue-1,0.0,0.0,0.0,amine gouiri,2022,Ligue 1
Arnaud Kalimuendo,20,France,Centre-Forward,18000000,Paris Saint-Germain,20000000.0,Ligue_1_2022.csv,Ligue 1,,,arnaud kalimuendo,2022,2021,2022,Ligue 1,Arnaud Kalimuendo,fr FRA,FW,Lens,19,2002.0,32.0,27.0,2148,0.0,12.0,0.0,12.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,30.0,192.0,2021-2022,Ligue-1,0.0,0.0,0.0,arnaud kalimuendo,2021,Ligue 1,Arnaud Kalimuendo,fr FRA,FW,Rennes,20,2002.0,30.0,24.0,1849,0.0,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,193.0,2022-2023,Ligue-1,0.0,0.0,0.0,arnaud kalimuendo,2022,Ligue 1
Sofiane Diop,22,Morocco,Left Winger,20000000,AS Monaco,22000000.0,Ligue_1_2022.csv,Ligue 1,,,sofiane diop,2022,2021,2022,Ligue 1,Sofiane Diop,fr FRA,MF  FW,Monaco,21,2000.0,30.0,24.0,1948,0.0,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,75.0,130.0,202.0,2021-2022,Ligue-1,0.0,0.0,0.0,sofiane diop,2021,Ligue 1,Sofiane Diop,fr FRA,MF FW,Nice,22,2000.0,22.0,14.0,1228,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,72.0,91.0,2022-2023,Ligue-1,0.0,0.0,0.0,sofiane diop,2022,Ligue 1
Gaëtan Laborde,28,France,Centre-Forward,18000000,Stade Rennais FC,15000000.0,Ligue_1_2022.csv,Ligue 1,,,gaëtan laborde,2022,2021,2022,Ligue 1,Gaëtan Laborde,fr FRA,FW,Montpellier,27,1994.0,4.0,4.0,341,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,7.0,7.0,25.0,2021-2022,Ligue-1,0.0,0.0,0.0,gaëtan laborde,2021,Ligue 1,Gaëtan Laborde,fr FRA,FW,Nice,28,1994.0,33.0,28.0,2506,0.0,13.0,3.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,54.0,53.0,196.0,2022-2023,Ligue-1,0.0,0.0,0.0,gaëtan laborde,2022,Ligue 1
Bamba Dieng,22,Senegal,Centre-Forward,8000000,Olympique Marseille,7000000.0,Ligue_1_2022.csv,Ligue 1,,,bamba dieng,2022,2021,2022,Ligue 1,Bamba Dieng,sn SEN,FW,Marseille,21,2000.0,25.0,11.0,975,0.0,7.0,1.0,8.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,24.0,15.0,82.0,2021-2022,Ligue-1,0.0,0.0,0.0,bamba dieng,2021,Ligue 1,Bamba Dieng,sn SEN,FW MF,Marseille,22,2000.0,10.0,1.0,194,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,5.0,1.0,23.0,2022-2023,Ligue-1,0.0,0.0,0.0,bamba dieng,2022,Ligue 1
Junior Messias,31,Brazil,Right Winger,6000000,Crotone,6200000.0,Serie_A_2022.csv,Serie A,,,junior messias,2022,2021,2022,Serie A,Junior Messias,br BRA,FW MF,Milan,30,1991.0,26.0,14.0,1428,0.0,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,63.0,45.0,124.0,2021-2022,Serie-A,0.0,0.0,0.0,junior messias,2021,Serie A,Junior Messias,br BRA,FW DF,Milan,31,1991.0,25.0,19.0,1498,0.0,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,3.0,45.0,54.0,137.0,2022-2023,Serie-A,0.0,0.0,0.0,junior messias,2022,Serie A
Joaquín Correa,27,Argentina,Second Striker,23000000,Lazio,27300000.0,Serie_A_2022.csv,Serie A,,,joaquín correa,2022,2021,2022,Serie A,Joaquín Correa,ar ARG,FW,Inter,26,1994.0,26.0,12.0,1025,0.0,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,38.0,93.0,2021-2022,Serie-A,0.0,0.0,0.0,joaquín correa,2021,Serie A,Joaquín Correa,ar ARG,FW,Inter,27,1994.0,26.0,12.0,950,0.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,61.0,2022-2023,Serie-A,0.0,0.0,0.0,joaquín correa,2022,Serie A
Federico Chiesa,24,Italy,Right Winger,65000000,Fiorentina,44600000.0,Serie_A_2022.csv,Serie A,,,federico chiesa,2022,2021,2022,Serie A,Federico Chiesa,it ITA,MF FW,Juventus,23,1997.0,14.0,11.0,863,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,59.0,2021-2022,Serie-A,0.0,0.0,0.0,federico chiesa,2021,Serie A,Federico Chiesa,it ITA,DF MF,Juventus,24,1997.0,21.0,6.0,852,0.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,34.0,88.0,2022-2023,Serie-A,0.0,0.0,0.0,federico chiesa,2022,Serie A
